location_id,Max_dn,ISP_Max_dn,Max_up,ISP_Max_up,BEAD_status,address
1289816024,,,,,unserved,42420 KENNEDY MEADOW RD BLDG 3 LONG BARN CA
1289816025,100,Cal.net,20,Cal.net, served,17866 SKYFARM DR TUOLUMNE CA
1289816026,100,Cal.net,20,Cal.net, served,16860 BUCKHORN MOUNTAIN RD SONORA CA
1289816027,,,,, served,18300 WINDSONG LN SONORA CA
1289816028,10,Frontier,10,Frontier,unserved,18489 HERSHEY RD W TUOLUMNE CA
1289816029,10000,Vast Networks,10000,Vast Networks, served,5810 OBYRNES FERRY RD JAMESTOWN CA
1289816030,,,,, served,13936 RED HILLS RD JAMESTOWN CA
1289816031,,,,, served,7690 FRENCH FLAT RD JAMESTOWN CA
1289816032,100,Cal.net,20,Cal.net, served,18385 COYOTE MEADOW RD SONORA CA
1289816034,,,,, served,19324 CHEROKEE RD TUOLUMNE CA
1289816035,,,,,unserved,20006 MI WU ST TUOLUMNE CA
1289816036,1200,Xfinity,35,Xfinity, served,20495 QUAIL HOLLOW CT SONORA CA
1289816037,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 4 GROVELAND CA
1289816038,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 7 GROVELAND CA
1289816039,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 5 GROVELAND CA
1289816040,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 11 GROVELAND CA
1289816041,,,,,unserved,35250 MATHER RD BLDG 2 GROVELAND CA
1289816042,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 6 GROVELAND CA
1289816046,,,,,unserved,9033 MEADOWVIEW GROVELAND CA
1289816047,,,,,unserved,20080 MI WU ST TUOLUMNE CA
1289816048,,,,,unserved,132 YOSEMITE NATIONAL PARK GROVELAND CA
1289816049,,,,,unserved,8078 TUOLUMNE GROVE RD GROVELAND CA
1289816050,,,,,unserved,8096 TUOLUMNE GROVE RD GROVELAND CA
1289816051,,,,,unserved,9079 DOGWOOD DR GROVELAND CA
1289816052,1200,Xfinity,35,Xfinity, served,18795 1ST AVE TUOLUMNE CA
1289816053,10,Verizon,10,AT&T, served,18543 MAIN ST GROVELAND CA
1289816054,,,,, served,18543 MAIN ST BLDG 2 GROVELAND CA
1289816055,1200,Xfinity,35,Xfinity, served,19973 LANE CT SONORA CA
1289816057,,,,, served,35250 MATHER RD GROVELAND CA
1289816058,,,,, served,16115 YOSEMITE RD SONORA CA
1289816060,10,AT&T,<1,AT&T, served,22385 GERALDINE CIR SONORA CA
1289816159,,,,,unserved,112 TIOGA RD YOSEMITE NTL PARK CA
1289816167,,,,,unserved,32310 EVERGREEN RD GROVELAND CA
1289816253,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 10 GROVELAND CA
1289816397,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 12 GROVELAND CA
1289816440,,,,,unserved,13814 TULLOCH RD JAMESTOWN CA
1289816520,,,,,unserved,8197 FOREST ROUTE 1S02 GROVELAND CA
1289816572,,,,,unserved,13140 TULLOCH DAM RD JAMESTOWN CA
1289816573,,,,,unserved,13160 TULLOCH RD JAMESTOWN CA
1289816574,,,,,unserved,13788 TULLOCH DAM RD JAMESTOWN CA
1289816575,,,,,unserved,13770 TULLOCH RD JAMESTOWN CA
1289816576,,,,,unserved,13790 TULLOCH DAM RD JAMESTOWN CA
1289816577,,,,,unserved,13440 TULLOCH RD JAMESTOWN CA
1289816578,,,,,unserved,13970 TULLOCH DAM RD JAMESTOWN CA
1289816579,,,,,unserved,13800 TULLOCH RD JAMESTOWN CA
1289816580,,,,,unserved,13780 TULLOCH DAM RD JAMESTOWN CA
1289816601,,,,,unserved,13846 TULLOCH DAM RD JAMESTOWN CA
1289816602,,,,, served,5225 TULLOCH LAKE ESTATES RD JAMESTOWN CA
1289816603,,,,, served,5175 TULLOCH LAKE ESTATES RD JAMESTOWN CA
1289816604,,,,, served,5115 TULLOCH LAKE ESTATES RD JAMESTOWN CA
1289816620,,,,, served,9071 SMITH STATION RD GROVELAND CA
1289816627,,,,,unserved,14040 GREEN SPRINGS RUN JAMESTOWN CA
1289816628,,,,,unserved,14490 OLD O BYRNES FERRY RD COPPEROPOLIS CA
1289816686,,,,, served,9856 SMITH STATION RD GROVELAND CA
1289816687,,,,, served,23247 ELMORE RD GROVELAND CA
1289816688,10,Verizon,1,Verizon,unserved,23247 SUTTON RD GROVELAND CA
1289816689,,,,, served,10648 BUCKTAIL DR GROVELAND CA
1289816690,,,,, served,23067 HELLS HOLLOW RD GROVELAND CA
1289816691,,,,, served,23664 ROCK HAMMER RD GROVELAND CA
1289816692,,,,, served,10031 SHORT LINE RD GROVELAND CA
1289816693,,,,, served,9030 SMITH STATION RD GROVELAND CA
1289816694,,,,, served,9797 SMITH STATION RD GROVELAND CA
1289816695,,,,, served,23071 HELLS HOLLOW RD GROVELAND CA
1289816696,,,,, served,10025 SHORT LINE RD GROVELAND CA
1289816697,,,,, served,10696 BUCKTAIL DR GROVELAND CA
1289816698,,,,, served,9900 SMITH STATION RD GROVELAND CA
1289816699,,,,,unserved, GROVELAND CA
1289816701,,,,, served,32416 EVERGREEN RD BLDG 2 GROVELAND CA
1289816702,,,,, served,9747 SMITH STATION RD GROVELAND CA
1289816703,,,,, served,9810 SHORT LINE RD GROVELAND CA
1289816704,,,,, served,10080 SHORT LINE RD GROVELAND CA
1289816705,,,,, served,23131 ELMORE RD GROVELAND CA
1289816706,,,,, served,23708 ROCK HAMMER RD GROVELAND CA
1289816707,,,,, served,9840 SHORT LINE RD GROVELAND CA
1289816708,,,,, served,9817 SHORT LINE RD GROVELAND CA
1289816709,,,,,unserved,22646 HELLS HOLLOW RD GROVELAND CA
1289816711,,,,,unserved,27575 PACKARD CANYON RD GROVELAND CA
1289816712,,,,, served,23053 HELLS HOLLOW RD GROVELAND CA
1289816713,,,,, served,23060 FOREST ROUTE 1S35Y GROVELAND CA
1289816714,,,,, served,23121 HELLS HOLLOW RD GROVELAND CA
1289816715,,,,, served,9041 SMITH STATION RD GROVELAND CA
1289816716,,,,, served,10055 SHORT LINE RD GROVELAND CA
1289816717,,,,, served,9929 SMITH STATION RD GROVELAND CA
1289816718,,,,, served,9710 SMITH STATION RD GROVELAND CA
1289816719,,,,, served,27557 PACKARD CANYON RD GROVELAND CA
1289816720,,,,, served,23550 CASA LOMA RD GROVELAND CA
1289816721,,,,, served,23059 HELLS HOLLOW RD GROVELAND CA
1289816722,,,,, served,9825 SHORT LINE RD GROVELAND CA
1289816723,,,,, served,23625 ROCK HAMMER RD GROVELAND CA
1289816724,,,,, served,9720 SMITH STATION RD GROVELAND CA
1289816725,,,,, served,22999 ELMORE RD GROVELAND CA
1289816726,,,,, served,23101 HELLS HOLLOW RD GROVELAND CA
1289816727,,,,,unserved,27890 STATE HIGHWAY 120 GROVELAND CA
1289816728,,,,, served,23235 ELMORE RD GROVELAND CA
1289816730,,,,, served,9065 SMITH STATION RD GROVELAND CA
1289816731,,,,, served,9053 SMITH STATION RD GROVELAND CA
1289816732,,,,, served,9744 SMITH STATION RD GROVELAND CA
1289816733,,,,, served,23111 ELMORE RD GROVELAND CA
1289816734,,,,,unserved,24720 STATE HIGHWAY 120 GROVELAND CA
1289816735,,,,, served,9880 SMITH STATION RD GROVELAND CA
1289816736,,,,, served,9045 SMITH STATION RD GROVELAND CA
1289816739,,,,, served,9848 SMITH STATION RD GROVELAND CA
1289816740,,,,,unserved,23015 SPRAGUE RD E GROVELAND CA
1289816741,,,,,underserved,9001 SMITH STATION RD GROVELAND CA
1289816742,,,,, served,23555 ROCK HAMMER RD GROVELAND CA
1289816743,,,,, served,24025 STATE HIGHWAY 120 GROVELAND CA
1289816744,,,,, served,23350 STATE HIGHWAY 120 GROVELAND CA
1289816745,,,,, served,23066 HELLS HOLLOW RD GROVELAND CA
1289816746,,,,,unserved,27581 PACKARD CANYON RD GROVELAND CA
1289816747,,,,, served,9709 SMITH STATION RD GROVELAND CA
1289816748,,,,, served,9810 SMITH STATION RD GROVELAND CA
1289816749,,,,, served,24000 CASA LOMA RD BLDG 2 GROVELAND CA
1289816751,,,,, served,23633 ROCK HAMMER RD BLDG 2 GROVELAND CA
1289816756,,,,, served,10725 BUCKTAIL DR GROVELAND CA
1289816771,,,,, served,35846 FOREST ROUTE 1S02 RD GROVELAND CA
1289816792,,,,, served,10551 SMITH STATION RD GROVELAND CA
1289816796,,,,, served,20497 ROCK CANYON WAY GROVELAND CA
1289816797,,,,, served,20484 ROCK CANYON WAY GROVELAND CA
1289816798,,,,, served,20504 ROCK CANYON WAY GROVELAND CA
1289816799,,,,, served,20351 PINE MOUNTAIN DR GROVELAND CA
1289816800,,,,, served,20439 ROCK CANYON WAY GROVELAND CA
1289816801,,,,, served,20362 PINE MOUNTAIN DR GROVELAND CA
1289816802,,,,, served,20220 FERRET CT GROVELAND CA
1289816803,,,,,unserved,35250 FOREST ROUTE 1S32 BLDG 9 GROVELAND CA
1289816804,,,,, served,20457 ROCK CANYON WAY GROVELAND CA
1289816805,,,,, served,20578 NOB HILL CIR GROVELAND CA
1289816806,,,,, served,12991 DOWN TO EARTH CT GROVELAND CA
1289816807,,,,, served,20505 ROCK CANYON WAY GROVELAND CA
